stage,side,candidate,direction,elapsed_s,steering_pulse_us,steering_tick,controller_state,esc_pulse_us,esc_tick,adaptive_feedforward_us,integral_trim_us,fresh_odom,fresh_in_leg,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,leg_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
warmup,center,0,forward,3.3864,1450.000,1169,startup,1422.144,1147,1419.384,0.000,1,1,1783747131.241219044,0.747150,0.232001,0.526713,-0.006003,-0.0002976,0.0005132,0.000298,0.000000,0.000000,1.295,1.724
warmup,center,0,forward,3.4001,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783747131.241219044,0.747150,0.232001,0.526713,-0.006003,,,0.000298,0.000000,0.000000,1.295,1.724
warmup,center,0,forward,3.4219,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783747131.241219044,0.747150,0.232001,0.526713,-0.006003,,,0.000298,0.000000,0.000000,1.295,1.724
warmup,center,0,forward,3.4434,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783747131.241219044,0.747150,0.232001,0.526713,-0.006003,,,0.000298,0.000000,0.000000,1.295,1.724
warmup,center,0,forward,3.4650,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783747131.241219044,0.747150,0.232001,0.526713,-0.006003,,,0.000298,0.000000,0.000000,1.295,1.724
warmup,center,0,forward,3.4866,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783747131.241219044,0.747150,0.232001,0.526713,-0.006003,,,0.000298,0.000000,0.000000,1.292,1.725
warmup,center,0,forward,3.4892,1450.000,1169,startup,1420.904,1146,1419.384,0.000,1,2,1783747131.341784239,0.749915,0.234831,0.526587,0.004976,0.0038128,-0.0001263,0.004110,0.000000,0.000000,1.292,1.725
warmup,center,0,forward,3.5084,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783747131.341784239,0.749915,0.234831,0.526587,0.004976,,,0.004110,0.000000,0.000000,1.292,1.725
warmup,center,0,forward,3.5301,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783747131.341784239,0.749915,0.234831,0.526587,0.004976,,,0.004110,0.000000,0.000000,1.292,1.725
warmup,center,0,forward,3.5517,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783747131.341784239,0.749915,0.234831,0.526587,0.004976,,,0.004110,0.000000,0.000000,1.292,1.725
warmup,center,0,forward,3.5732,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783747131.341784239,0.749915,0.234831,0.526587,0.004976,,,0.004110,0.000000,0.000000,1.303,1.723
warmup,center,0,forward,3.5884,1450.000,1169,startup,1419.664,1145,1419.384,0.000,1,3,1783747131.442203045,0.746876,0.232060,0.526337,-0.006275,-0.0040196,-0.0002502,0.008130,0.000000,0.000000,1.303,1.723
warmup,center,0,forward,3.6055,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783747131.442203045,0.746876,0.232060,0.526337,-0.006275,,,0.008130,0.000000,0.000000,1.303,1.723
warmup,center,0,forward,3.6272,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783747131.442203045,0.746876,0.232060,0.526337,-0.006275,,,0.008130,0.000000,0.000000,1.303,1.723
warmup,center,0,forward,3.6488,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783747131.442203045,0.746876,0.232060,0.526337,-0.006275,,,0.008130,0.000000,0.000000,1.303,1.723
warmup,center,0,forward,3.6703,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783747131.442203045,0.746876,0.232060,0.526337,-0.006275,,,0.008130,0.000000,0.000000,1.293,1.722
warmup,center,0,forward,3.6885,1450.000,1169,startup,1418.424,1144,1419.384,0.000,1,4,1783747131.542417049,0.747539,0.231294,0.526221,-0.004236,0.0001884,-0.0001160,0.008318,0.000000,0.000000,1.293,1.722
warmup,center,0,forward,3.7072,1450.000,1169,startup,1418.424,1144,1419.384,0.000,0,0,1783747131.542417049,0.747539,0.231294,0.526221,-0.004236,,,0.008318,0.000000,0.000000,1.293,1.722
warmup,center,0,forward,3.7291,1450.000,1169,startup,1418.424,1144,1419.384,0.000,0,0,1783747131.542417049,0.747539,0.231294,0.526221,-0.004236,,,0.008318,0.000000,0.000000,1.293,1.722
warmup,center,0,forward,3.7508,1450.000,1169,startup,1418.424,1144,1419.384,0.000,0,0,1783747131.542417049,0.747539,0.231294,0.526221,-0.004236,,,0.008318,0.000000,0.000000,1.293,1.722
warmup,center,0,forward,3.7725,1450.000,1169,startup,1418.424,1144,1419.384,0.000,0,0,1783747131.542417049,0.747539,0.231294,0.526221,-0.004236,,,0.008318,0.000000,0.000000,1.306,1.722
warmup,center,0,forward,3.7892,1450.000,1169,startup,1415.324,1141,1419.384,0.000,1,5,1783747131.642786503,0.746828,0.231617,0.526961,-0.004304,-0.0004526,0.0007402,0.008771,0.000000,0.000000,1.306,1.722
warmup,center,0,forward,3.8026,1450.000,1169,startup,1415.324,1141,1419.384,0.000,0,0,1783747131.642786503,0.746828,0.231617,0.526961,-0.004304,,,0.008771,0.000000,0.000000,1.306,1.722
warmup,center,0,forward,3.8243,1450.000,1169,startup,1415.324,1141,1419.384,0.000,0,0,1783747131.642786503,0.746828,0.231617,0.526961,-0.004304,,,0.008771,0.000000,0.000000,1.306,1.722
warmup,center,0,forward,3.8458,1450.000,1169,startup,1415.324,1141,1419.384,0.000,0,0,1783747131.642786503,0.746828,0.231617,0.526961,-0.004304,,,0.008771,0.000000,0.000000,1.306,1.722
warmup,center,0,forward,3.8674,1450.000,1169,startup,1415.324,1141,1419.384,0.000,0,0,1783747131.642786503,0.746828,0.231617,0.526961,-0.004304,,,0.008771,0.000000,0.000000,1.291,1.725
warmup,center,0,forward,3.8898,1450.000,1169,startup,1412.224,1139,1419.384,0.000,1,6,1783747131.743376493,0.751712,0.236325,0.525116,0.013143,0.0065871,-0.0018455,0.015358,0.000000,0.000000,1.291,1.725
warmup,center,0,forward,3.9087,1450.000,1169,startup,1412.224,1139,1419.384,0.000,0,0,1783747131.743376493,0.751712,0.236325,0.525116,0.013143,,,0.015358,0.000000,0.000000,1.291,1.725
warmup,center,0,forward,3.9304,1450.000,1169,startup,1412.224,1139,1419.384,0.000,0,0,1783747131.743376493,0.751712,0.236325,0.525116,0.013143,,,0.015358,0.000000,0.000000,1.291,1.725
warmup,center,0,forward,3.9521,1450.000,1169,startup,1412.224,1139,1419.384,0.000,0,0,1783747131.743376493,0.751712,0.236325,0.525116,0.013143,,,0.015358,0.000000,0.000000,1.291,1.725
warmup,center,0,forward,3.9737,1450.000,1169,startup,1412.224,1139,1419.384,0.000,0,0,1783747131.743376493,0.751712,0.236325,0.525116,0.013143,,,0.015358,0.000000,0.000000,1.293,1.725
warmup,center,0,forward,3.9875,1450.000,1169,startup,1409.124,1136,1419.384,0.000,1,7,1783747131.843780518,0.751192,0.239890,0.525490,0.013191,0.0013388,0.0003749,0.016697,0.000000,0.000000,1.293,1.725
warmup,center,0,forward,4.0080,1450.000,1169,startup,1409.124,1136,1419.384,0.000,0,0,1783747131.843780518,0.751192,0.239890,0.525490,0.013191,,,0.016697,0.000000,0.000000,1.293,1.725
warmup,center,0,forward,4.0296,1450.000,1169,startup,1409.124,1136,1419.384,0.000,0,0,1783747131.843780518,0.751192,0.239890,0.525490,0.013191,,,0.016697,0.000000,0.000000,1.293,1.725
warmup,center,0,forward,4.0512,1450.000,1169,startup,1409.124,1136,1419.384,0.000,0,0,1783747131.843780518,0.751192,0.239890,0.525490,0.013191,,,0.016697,0.000000,0.000000,1.293,1.725
warmup,center,0,forward,4.0729,1450.000,1169,startup,1409.124,1136,1419.384,0.000,0,0,1783747131.843780518,0.751192,0.239890,0.525490,0.013191,,,0.016697,0.000000,0.000000,1.296,1.724
warmup,center,0,forward,4.0878,1450.000,1169,startup,1406.024,1134,1419.384,0.000,1,8,1783747131.941677094,0.751074,0.238366,0.525729,0.007680,-0.0008666,0.0002390,0.017564,0.000000,0.000000,1.296,1.724
warmup,center,0,forward,4.1068,1450.000,1169,startup,1406.024,1134,1419.384,0.000,0,0,1783747131.941677094,0.751074,0.238366,0.525729,0.007680,,,0.017564,0.000000,0.000000,1.296,1.724
warmup,center,0,forward,4.1284,1450.000,1169,startup,1406.024,1134,1419.384,0.000,0,0,1783747131.941677094,0.751074,0.238366,0.525729,0.007680,,,0.017564,0.000000,0.000000,1.296,1.724
warmup,center,0,forward,4.1499,1450.000,1169,startup,1406.024,1134,1419.384,0.000,0,0,1783747131.941677094,0.751074,0.238366,0.525729,0.007680,,,0.017564,0.000000,0.000000,1.296,1.724
warmup,center,0,forward,4.1714,1450.000,1169,startup,1406.024,1134,1419.384,0.000,0,0,1783747131.941677094,0.751074,0.238366,0.525729,0.007680,,,0.017564,0.000000,0.000000,1.299,1.722
warmup,center,0,forward,4.1858,1450.000,1169,startup,1402.924,1131,1419.384,0.000,1,9,1783747132.042007923,0.747970,0.234909,0.526009,-0.005255,-0.0044204,0.0002797,0.021984,0.000000,0.000000,1.299,1.722
warmup,center,0,forward,4.2022,1450.000,1169,startup,1402.924,1131,1419.384,0.000,0,0,1783747132.042007923,0.747970,0.234909,0.526009,-0.005255,,,0.021984,0.000000,0.000000,1.299,1.722
warmup,center,0,forward,4.2239,1450.000,1169,startup,1402.924,1131,1419.384,0.000,0,0,1783747132.042007923,0.747970,0.234909,0.526009,-0.005255,,,0.021984,0.000000,0.000000,1.299,1.722
warmup,center,0,forward,4.2455,1450.000,1169,startup,1402.924,1131,1419.384,0.000,0,0,1783747132.042007923,0.747970,0.234909,0.526009,-0.005255,,,0.021984,0.000000,0.000000,1.299,1.722
warmup,center,0,forward,4.2670,1450.000,1169,startup,1402.924,1131,1419.384,0.000,0,0,1783747132.042007923,0.747970,0.234909,0.526009,-0.005255,,,0.021984,0.000000,0.000000,1.288,1.722
warmup,center,0,forward,4.2862,1450.000,1169,startup,1402.924,1131,1419.384,0.000,0,0,1783747132.042007923,0.747970,0.234909,0.526009,-0.005255,,,0.021984,0.000000,0.000000,1.288,1.722
warmup,center,0,forward,4.3081,1450.000,1169,startup,1399.824,1129,1419.384,0.000,1,10,1783747132.140056610,0.748809,0.235066,0.527081,-0.001890,0.0008043,0.0010721,0.022788,0.000000,0.000000,1.288,1.722
warmup,center,0,forward,4.3099,1450.000,1169,startup,1399.824,1129,1419.384,0.000,0,0,1783747132.140056610,0.748809,0.235066,0.527081,-0.001890,,,0.022788,0.000000,0.000000,1.288,1.722
warmup,center,0,forward,4.3317,1450.000,1169,startup,1399.824,1129,1419.384,0.000,0,0,1783747132.140056610,0.748809,0.235066,0.527081,-0.001890,,,0.022788,0.000000,0.000000,1.288,1.722
warmup,center,0,forward,4.3534,1450.000,1169,startup,1399.824,1129,1419.384,0.000,0,0,1783747132.140056610,0.748809,0.235066,0.527081,-0.001890,,,0.022788,0.000000,0.000000,1.288,1.722
warmup,center,0,forward,4.3750,1450.000,1169,startup,1399.824,1129,1419.384,0.000,0,0,1783747132.140056610,0.748809,0.235066,0.527081,-0.001890,,,0.022788,0.000000,0.000000,1.294,1.726
warmup,center,0,forward,4.3842,1450.000,1169,startup,1396.724,1126,1419.384,0.000,1,11,1783747132.240378618,0.748324,0.234862,0.525584,-0.002718,-0.0005219,-0.0014977,0.023310,0.000000,0.000000,1.294,1.726
warmup,center,0,forward,4.4000,1450.000,1169,startup,1396.724,1126,1419.384,0.000,0,0,1783747132.240378618,0.748324,0.234862,0.525584,-0.002718,,,0.023310,0.000000,0.000000,1.294,1.726
warmup,center,0,forward,4.4216,1450.000,1169,startup,1396.724,1126,1419.384,0.000,0,0,1783747132.240378618,0.748324,0.234862,0.525584,-0.002718,,,0.023310,0.000000,0.000000,1.294,1.726
warmup,center,0,forward,4.4432,1450.000,1169,startup,1396.724,1126,1419.384,0.000,0,0,1783747132.240378618,0.748324,0.234862,0.525584,-0.002718,,,0.023310,0.000000,0.000000,1.294,1.726
warmup,center,0,forward,4.4647,1450.000,1169,startup,1396.724,1126,1419.384,0.000,0,0,1783747132.240378618,0.748324,0.234862,0.525584,-0.002718,,,0.023310,0.000000,0.000000,1.301,1.725
warmup,center,0,forward,4.4846,1450.000,1169,startup,1393.624,1124,1419.384,0.000,1,12,1783747132.338342428,0.747581,0.232676,0.525337,-0.006478,-0.0017397,-0.0002462,0.025050,0.000000,0.000000,1.301,1.725
warmup,center,0,forward,4.5027,1450.000,1169,startup,1393.624,1124,1419.384,0.000,0,0,1783747132.338342428,0.747581,0.232676,0.525337,-0.006478,,,0.025050,0.000000,0.000000,1.301,1.725
warmup,center,0,forward,4.5243,1450.000,1169,startup,1393.624,1124,1419.384,0.000,0,0,1783747132.338342428,0.747581,0.232676,0.525337,-0.006478,,,0.025050,0.000000,0.000000,1.301,1.725
warmup,center,0,forward,4.5458,1450.000,1169,startup,1393.624,1124,1419.384,0.000,0,0,1783747132.338342428,0.747581,0.232676,0.525337,-0.006478,,,0.025050,0.000000,0.000000,1.301,1.725
warmup,center,0,forward,4.5673,1450.000,1169,startup,1393.624,1124,1419.384,0.000,0,0,1783747132.338342428,0.747581,0.232676,0.525337,-0.006478,,,0.025050,0.000000,0.000000,1.378,1.717
warmup,center,0,forward,4.5853,1450.000,1169,startup,1390.524,1121,1419.384,0.000,1,13,1783747132.438732386,0.756608,0.237899,0.527201,0.021114,0.0104294,0.0018631,0.035479,0.000000,0.000000,1.378,1.717
warmup,center,0,forward,4.5996,1450.000,1169,startup,1390.524,1121,1419.384,0.000,0,0,1783747132.438732386,0.756608,0.237899,0.527201,0.021114,,,0.035479,0.000000,0.000000,1.378,1.717
warmup,center,0,forward,4.6213,1450.000,1169,startup,1390.524,1121,1419.384,0.000,0,0,1783747132.438732386,0.756608,0.237899,0.527201,0.021114,,,0.035479,0.000000,0.000000,1.378,1.717
warmup,center,0,forward,4.6428,1450.000,1169,startup,1390.524,1121,1419.384,0.000,0,0,1783747132.438732386,0.756608,0.237899,0.527201,0.021114,,,0.035479,0.000000,0.000000,1.378,1.717
warmup,center,0,forward,4.6643,1450.000,1169,startup,1390.524,1121,1419.384,0.000,0,0,1783747132.438732386,0.756608,0.237899,0.527201,0.021114,,,0.035479,0.000000,0.000000,1.319,1.710
warmup,center,0,forward,4.6825,1450.000,1169,startup,1387.424,1119,1419.384,0.000,1,14,1783747132.538974524,0.765674,0.243321,0.529270,0.042180,0.0105636,0.0020699,0.046043,0.000000,0.000000,1.319,1.710
warmup,center,0,forward,4.6933,1450.000,1169,startup,1387.424,1119,1419.384,0.000,0,0,1783747132.538974524,0.765674,0.243321,0.529270,0.042180,,,0.046043,0.000000,0.000000,1.319,1.710
warmup,center,0,forward,4.7150,1450.000,1169,startup,1387.424,1119,1419.384,0.000,0,0,1783747132.538974524,0.765674,0.243321,0.529270,0.042180,,,0.046043,0.000000,0.000000,1.319,1.710
warmup,center,0,forward,4.7368,1450.000,1169,startup,1387.424,1119,1419.384,0.000,0,0,1783747132.538974524,0.765674,0.243321,0.529270,0.042180,,,0.046043,0.000000,0.000000,1.319,1.710
warmup,center,0,forward,4.7586,1450.000,1169,startup,1387.424,1119,1419.384,0.000,0,0,1783747132.538974524,0.765674,0.243321,0.529270,0.042180,,,0.046043,0.000000,0.000000,1.319,1.710
warmup,center,0,forward,4.7805,1450.000,1169,startup,1387.424,1119,1419.384,0.000,0,0,1783747132.538974524,0.765674,0.243321,0.529270,0.042180,,,0.046043,0.000000,0.000000,1.313,1.703
warmup,center,0,forward,4.7836,1450.000,1169,startup,1384.324,1116,1419.384,0.000,1,15,1783747132.636658907,0.766379,0.240860,0.529149,0.030012,-0.0006343,-0.0001211,0.046677,0.000000,0.000000,1.313,1.703
warmup,center,0,forward,4.8051,1450.000,1169,startup,1384.324,1116,1419.384,0.000,0,0,1783747132.636658907,0.766379,0.240860,0.529149,0.030012,,,0.046677,0.000000,0.000000,1.313,1.703
warmup,center,0,forward,4.8268,1450.000,1169,startup,1384.324,1116,1419.384,0.000,0,0,1783747132.636658907,0.766379,0.240860,0.529149,0.030012,,,0.046677,0.000000,0.000000,1.313,1.703
warmup,center,0,forward,4.8486,1450.000,1169,startup,1384.324,1116,1419.384,0.000,0,0,1783747132.636658907,0.766379,0.240860,0.529149,0.030012,,,0.046677,0.000000,0.000000,1.313,1.703
warmup,center,0,forward,4.8702,1450.000,1169,startup,1384.324,1116,1419.384,0.000,0,0,1783747132.636658907,0.766379,0.240860,0.529149,0.030012,,,0.046677,0.000000,0.000000,1.322,1.691
warmup,center,0,forward,4.8834,1450.000,1169,startup,1381.224,1114,1419.384,0.000,1,16,1783747132.737034559,0.772439,0.242299,0.527865,0.037351,0.0059593,-0.0012844,0.052636,0.000000,0.000000,1.322,1.691
warmup,center,0,forward,4.8977,1450.000,1169,startup,1381.224,1114,1419.384,0.000,0,0,1783747132.737034559,0.772439,0.242299,0.527865,0.037351,,,0.052636,0.000000,0.000000,1.322,1.691
warmup,center,0,forward,4.9193,1450.000,1169,startup,1381.224,1114,1419.384,0.000,0,0,1783747132.737034559,0.772439,0.242299,0.527865,0.037351,,,0.052636,0.000000,0.000000,1.322,1.691
warmup,center,0,forward,4.9408,1450.000,1169,startup,1381.224,1114,1419.384,0.000,0,0,1783747132.737034559,0.772439,0.242299,0.527865,0.037351,,,0.052636,0.000000,0.000000,1.322,1.691
warmup,center,0,forward,4.9623,1450.000,1169,startup,1381.224,1114,1419.384,0.000,0,0,1783747132.737034559,0.772439,0.242299,0.527865,0.037351,,,0.052636,0.000000,0.000000,1.335,1.676
warmup,center,0,forward,4.9839,1450.000,1169,startup,1381.224,1114,1419.384,0.000,0,0,1783747132.737034559,0.772439,0.242299,0.527865,0.037351,,,0.052636,0.000000,0.000000,1.335,1.676
warmup,center,0,forward,5.0059,1450.000,1169,rolling,1419.384,1145,1419.384,0.000,1,17,1783747132.837590933,0.790931,0.252918,0.531014,0.081025,0.0213225,0.0031489,0.073959,0.000000,0.000000,1.335,1.676
warmup,center,0,forward,5.0077,1450.000,1169,rolling,1419.384,1145,1419.384,0.000,0,0,1783747132.837590933,0.790931,0.252918,0.531014,0.081025,,,0.073959,0.000000,0.000000,1.335,1.676
warmup,center,0,forward,5.0295,1450.000,1169,rolling,1419.384,1145,1419.384,0.000,0,0,1783747132.837590933,0.790931,0.252918,0.531014,0.081025,,,0.073959,0.000000,0.000000,1.335,1.676
warmup,center,0,forward,5.0511,1450.000,1169,rolling,1419.384,1145,1419.384,0.000,0,0,1783747132.837590933,0.790931,0.252918,0.531014,0.081025,,,0.073959,0.000000,0.000000,1.335,1.676
warmup,center,0,forward,5.0729,1450.000,1169,rolling,1419.384,1145,1419.384,0.000,0,0,1783747132.837590933,0.790931,0.252918,0.531014,0.081025,,,0.073959,0.000000,0.000000,1.355,1.655
warmup,center,0,forward,5.0840,1450.000,1169,rolling,1417.462,1143,1419.132,-0.252,1,18,1783747132.938002110,0.812370,0.260605,0.531743,0.116485,0.0223782,0.0007295,0.096337,0.022378,0.000730,1.355,1.655
warmup,center,0,forward,5.0975,1450.000,1169,rolling,1417.462,1143,1419.132,-0.252,0,0,1783747132.938002110,0.812370,0.260605,0.531743,0.116485,,,0.096337,0.022378,0.000730,1.355,1.655
warmup,center,0,forward,5.1192,1450.000,1169,rolling,1417.462,1143,1419.132,-0.252,0,0,1783747132.938002110,0.812370,0.260605,0.531743,0.116485,,,0.096337,0.022378,0.000730,1.355,1.655
warmup,center,0,forward,5.1408,1450.000,1169,rolling,1417.462,1143,1419.132,-0.252,0,0,1783747132.938002110,0.812370,0.260605,0.531743,0.116485,,,0.096337,0.022378,0.000730,1.355,1.655
warmup,center,0,forward,5.1624,1450.000,1169,rolling,1417.462,1143,1419.132,-0.252,0,0,1783747132.938002110,0.812370,0.260605,0.531743,0.116485,,,0.096337,0.022378,0.000730,1.383,1.643
warmup,center,0,forward,5.1821,1450.000,1169,rolling,1417.753,1143,1418.952,-0.432,1,19,1783747133.038226366,0.833059,0.267107,0.533359,0.140060,0.0211258,0.0016152,0.117463,0.043504,0.002345,1.383,1.643
warmup,center,0,forward,5.1988,1450.000,1169,rolling,1417.753,1143,1418.952,-0.432,0,0,1783747133.038226366,0.833059,0.267107,0.533359,0.140060,,,0.117463,0.043504,0.002345,1.383,1.643
warmup,center,0,forward,5.2205,1450.000,1169,rolling,1417.753,1143,1418.952,-0.432,0,0,1783747133.038226366,0.833059,0.267107,0.533359,0.140060,,,0.117463,0.043504,0.002345,1.383,1.643
warmup,center,0,forward,5.2421,1450.000,1169,rolling,1417.753,1143,1418.952,-0.432,0,0,1783747133.038226366,0.833059,0.267107,0.533359,0.140060,,,0.117463,0.043504,0.002345,1.383,1.643
warmup,center,0,forward,5.2636,1450.000,1169,rolling,1417.753,1143,1418.952,-0.432,0,0,1783747133.038226366,0.833059,0.267107,0.533359,0.140060,,,0.117463,0.043504,0.002345,1.383,1.628
warmup,center,0,forward,5.2824,1450.000,1169,rolling,1418.089,1144,1418.841,-0.542,1,20,1783747133.136268139,0.855991,0.272511,0.535188,0.162387,0.0224876,0.0018295,0.139950,0.065992,0.004174,1.383,1.628
warmup,center,0,forward,5.2936,1450.000,1169,rolling,1418.089,1144,1418.841,-0.542,0,0,1783747133.136268139,0.855991,0.272511,0.535188,0.162387,,,0.139950,0.065992,0.004174,1.383,1.628
warmup,center,0,forward,5.3152,1450.000,1169,rolling,1418.089,1144,1418.841,-0.542,0,0,1783747133.136268139,0.855991,0.272511,0.535188,0.162387,,,0.139950,0.065992,0.004174,1.383,1.628
warmup,center,0,forward,5.3368,1450.000,1169,rolling,1418.089,1144,1418.841,-0.542,0,0,1783747133.136268139,0.855991,0.272511,0.535188,0.162387,,,0.139950,0.065992,0.004174,1.383,1.628
warmup,center,0,forward,5.3583,1450.000,1169,rolling,1418.089,1144,1418.841,-0.542,0,0,1783747133.136268139,0.855991,0.272511,0.535188,0.162387,,,0.139950,0.065992,0.004174,1.383,1.628
warmup,center,0,forward,5.3798,1450.000,1169,rolling,1418.089,1144,1418.841,-0.542,0,0,1783747133.136268139,0.855991,0.272511,0.535188,0.162387,,,0.139950,0.065992,0.004174,1.389,1.621
warmup,center,0,forward,5.3830,1450.000,1169,rolling,1418.089,1144,1418.841,-0.542,0,0,1783747133.136268139,0.855991,0.272511,0.535188,0.162387,,,0.139950,0.065992,0.004174,1.389,1.621
warmup,center,0,forward,5.4050,1450.000,1169,rolling,1417.193,1143,1418.626,-0.758,1,21,1783747133.236392975,0.854377,0.280358,0.538120,0.128344,0.0026246,0.0029320,0.142575,0.068616,0.007106,1.389,1.621
warmup,center,0,forward,5.4157,1450.000,1169,rolling,1417.193,1143,1418.626,-0.758,0,0,1783747133.236392975,0.854377,0.280358,0.538120,0.128344,,,0.142575,0.068616,0.007106,1.389,1.621
warmup,center,0,forward,5.4374,1450.000,1169,rolling,1417.193,1143,1418.626,-0.758,0,0,1783747133.236392975,0.854377,0.280358,0.538120,0.128344,,,0.142575,0.068616,0.007106,1.389,1.621
warmup,center,0,forward,5.4589,1450.000,1169,rolling,1417.193,1143,1418.626,-0.758,0,0,1783747133.236392975,0.854377,0.280358,0.538120,0.128344,,,0.142575,0.068616,0.007106,1.389,1.621
warmup,center,0,forward,5.4804,1450.000,1169,rolling,1417.193,1143,1418.626,-0.758,0,0,1783747133.236392975,0.854377,0.280358,0.538120,0.128344,,,0.142575,0.068616,0.007106,1.387,1.623
warmup,center,0,forward,5.4833,1450.000,1169,rolling,1417.193,1143,1418.626,-0.758,0,0,1783747133.236392975,0.854377,0.280358,0.538120,0.128344,,,0.142575,0.068616,0.007106,1.387,1.623
warmup,center,0,forward,5.5053,1450.000,1169,rolling,1416.307,1142,1418.322,-1.062,1,22,1783747133.337149382,0.854611,0.282339,0.537583,0.099276,0.0012163,-0.0005370,0.143791,0.068616,0.007106,1.387,1.623
warmup,center,0,forward,5.5072,1450.000,1169,rolling,1416.307,1142,1418.322,-1.062,0,0,1783747133.337149382,0.854611,0.282339,0.537583,0.099276,,,0.143791,0.068616,0.007106,1.387,1.623
warmup,center,0,forward,5.5289,1450.000,1169,rolling,1416.307,1142,1418.322,-1.062,0,0,1783747133.337149382,0.854611,0.282339,0.537583,0.099276,,,0.143791,0.068616,0.007106,1.387,1.623
warmup,center,0,forward,5.5505,1450.000,1169,rolling,1416.307,1142,1418.322,-1.062,0,0,1783747133.337149382,0.854611,0.282339,0.537583,0.099276,,,0.143791,0.068616,0.007106,1.387,1.623
warmup,center,0,forward,5.5722,1450.000,1169,rolling,1416.307,1142,1418.322,-1.062,0,0,1783747133.337149382,0.854611,0.282339,0.537583,0.099276,,,0.143791,0.068616,0.007106,1.396,1.618
warmup,center,0,forward,5.5836,1450.000,1169,rolling,1415.453,1141,1417.946,-1.437,1,23,1783747133.437501192,0.853861,0.284301,0.536786,0.075352,0.0003595,-0.0007970,0.144151,0.068616,0.007106,1.396,1.618
warmup,center,0,forward,5.5927,1450.000,1169,rolling,1415.453,1141,1417.946,-1.437,0,0,1783747133.437501192,0.853861,0.284301,0.536786,0.075352,,,0.144151,0.068616,0.007106,1.396,1.618
warmup,center,0,forward,5.6144,1450.000,1169,rolling,1415.453,1141,1417.946,-1.437,0,0,1783747133.437501192,0.853861,0.284301,0.536786,0.075352,,,0.144151,0.068616,0.007106,1.396,1.618
warmup,center,0,forward,5.6362,1450.000,1169,rolling,1415.453,1141,1417.946,-1.437,0,0,1783747133.437501192,0.853861,0.284301,0.536786,0.075352,,,0.144151,0.068616,0.007106,1.396,1.618
warmup,center,0,forward,5.6578,1450.000,1169,rolling,1415.453,1141,1417.946,-1.437,0,0,1783747133.437501192,0.853861,0.284301,0.536786,0.075352,,,0.144151,0.068616,0.007106,1.396,1.618
warmup,center,0,forward,5.6794,1450.000,1169,rolling,1415.453,1141,1417.946,-1.437,0,0,1783747133.437501192,0.853861,0.284301,0.536786,0.075352,,,0.144151,0.068616,0.007106,1.388,1.622
warmup,center,0,forward,5.6841,1450.000,1169,rolling,1414.327,1141,1417.474,-1.910,1,24,1783747133.537579060,0.849210,0.281265,0.535204,0.042652,-0.0055492,-0.0015819,0.149700,0.068616,0.007106,1.388,1.622
warmup,center,0,forward,5.7019,1450.000,1169,rolling,1414.327,1141,1417.474,-1.910,0,0,1783747133.537579060,0.849210,0.281265,0.535204,0.042652,,,0.149700,0.068616,0.007106,1.388,1.622
warmup,center,0,forward,5.7235,1450.000,1169,rolling,1414.327,1141,1417.474,-1.910,0,0,1783747133.537579060,0.849210,0.281265,0.535204,0.042652,,,0.149700,0.068616,0.007106,1.388,1.622
warmup,center,0,forward,5.7451,1450.000,1169,rolling,1414.327,1141,1417.474,-1.910,0,0,1783747133.537579060,0.849210,0.281265,0.535204,0.042652,,,0.149700,0.068616,0.007106,1.388,1.622
warmup,center,0,forward,5.7671,1450.000,1169,rolling,1414.327,1141,1417.474,-1.910,0,0,1783747133.537579060,0.849210,0.281265,0.535204,0.042652,,,0.149700,0.068616,0.007106,1.393,1.619
warmup,center,0,forward,5.7841,1450.000,1169,rolling,1413.248,1140,1416.919,-2.465,1,25,1783747133.638324499,0.843978,0.277820,0.533628,0.016461,-0.0062575,-0.0015765,0.155957,0.068616,0.007106,1.393,1.619
warmup,center,0,forward,5.7991,1450.000,1169,rolling,1413.248,1140,1416.919,-2.465,0,0,1783747133.638324499,0.843978,0.277820,0.533628,0.016461,,,0.155957,0.068616,0.007106,1.393,1.619
warmup,center,0,forward,5.8213,1450.000,1169,rolling,1413.248,1140,1416.919,-2.465,0,0,1783747133.638324499,0.843978,0.277820,0.533628,0.016461,,,0.155957,0.068616,0.007106,1.393,1.619
